"SalesOrderDetailID","CarrierTrackingNumber","OrderQty","ProductID","SpecialOfferID","UnitPrice","LineTotal","ModifiedDate"
1,"4911-403C-98",1,776,1,2024.994,2024.994,"2001-07-01 00:00:00"
2,"4911-403C-98",3,777,1,2024.994,6074.982,"2001-07-01 00:00:00"
3,"4911-403C-98",1,778,1,2024.994,2024.994,"2001-07-01 00:00:00"
4,"4911-403C-98",1,771,1,2039.994,2039.994,"2001-07-01 00:00:00"
5,"4911-403C-98",1,772,1,2039.994,2039.994,"2001-07-01 00:00:00"
6,"4911-403C-98",2,773,1,2039.994,4079.988,"2001-07-01 00:00:00"
7,"4911-403C-98",1,774,1,2039.994,2039.994,"2001-07-01 00:00:00"
8,"4911-403C-98",3,714,1,28.8404,86.5212,"2001-07-01 00:00:00"
9,"4911-403C-98",1,716,1,28.8404,28.8404,"2001-07-01 00:00:00"
10,"4911-403C-98",6,709,1,5.7,34.2,"2001-07-01 00:00:00"
11,"4911-403C-98",2,712,1,5.1865,10.373,"2001-07-01 00:00:00"
12,"4911-403C-98",4,711,1,20.1865,80.746,"2001-07-01 00:00:00"
13,"6431-4D57-83",1,762,1,419.4589,419.4589,"2001-07-01 00:00:00"
14,"6431-4D57-83",1,758,1,874.794,874.794,"2001-07-01 00:00:00"
15,"4E0A-4F89-AE",1,745,1,809.76,809.76,"2001-07-01 00:00:00"
16,"4E0A-4F89-AE",1,743,1,714.7043,714.7043,"2001-07-01 00:00:00"
17,"4E0A-4F89-AE",2,747,1,714.7043,1429.4086,"2001-07-01 00:00:00"
18,"4E0A-4F89-AE",4,712,1,5.1865,20.746,"2001-07-01 00:00:00"
19,"4E0A-4F89-AE",4,715,1,28.8404,115.3616,"2001-07-01 00:00:00"
20,"4E0A-4F89-AE",2,742,1,722.5949,1445.1898,"2001-07-01 00:00:00"
21,"4E0A-4F89-AE",3,775,1,2024.994,6074.982,"2001-07-01 00:00:00"
22,"4E0A-4F89-AE",2,778,1,2024.994,4049.988,"2001-07-01 00:00:00"
23,"4E0A-4F89-AE",2,711,1,20.1865,40.373,"2001-07-01 00:00:00"
24,"4E0A-4F89-AE",2,741,1,818.7,1637.4,"2001-07-01 00:00:00"
25,"4E0A-4F89-AE",4,776,1,2024.994,8099.976,"2001-07-01 00:00:00"
26,"4E0A-4F89-AE",2,773,1,2039.994,4079.988,"2001-07-01 00:00:00"
27,"4E0A-4F89-AE",2,716,1,28.8404,57.6808,"2001-07-01 00:00:00"
28,"4E0A-4F89-AE",2,777,1,2024.994,4049.988,"2001-07-01 00:00:00"
29,"4E0A-4F89-AE",5,708,1,20.1865,100.9325,"2001-07-01 00:00:00"
30,"2E53-4802-85",3,764,1,419.4589,1258.3767,"2001-07-01 00:00:00"
